Date	Workout
20020110	"Complete as many rounds in 20 minutes as you can of:
24 inch Box jump, 15 reps
20 Sit ups
Notes: 
1. Give yourself one point for each round.
2. Add two points if you puke. 
___________________
""It's unbelievable how much you don't know about the game 
you've been playing all your life.""
- Mickey Mantle 
"
20020109	"1000 meter Row
Snatch 10-10-10-10-10 reps
1000 meter Row
___________________
""It's great to win, but it's also great fun to be in the thick of any 
truly well and hard-fought contest against opponents you respect, 
whatever the outcome.""
- Jack Nicklaus 
World Class Coaching has produced two outstanding videos on 
Olympic Weightlifting. Here is their site: 
http://www.worldclasscoachingllc.com/side.html 
"
20020108	"Have a partner gently assist you through twenty consecutive muscle-ups.
Switch.
Repeat.
Notes:
1. The most effective spotting/assisting technique is to lift from the 
bottom of the feet or about the ribs.
2. This is REALLY tough. Potentially for both.
___________________
""Luck is what happens when preparation meets opportunity.""
- Darrell Royal 
"
20020107	"Deadlift 5-3-1-3-5 reps
Run 1 mile
Deadlift 5-3-1-3-5 reps
Notes:
1. Pick challenging loads for each of the first five deadlift sets.
2. Rest as needed before and after the run. 
3. Run the mile for time, i.e., hard and fast.
4. Try to duplicate the loads for the second five sets of deadlift.
___________________
""I'm proof that great things can happen to ordinary people if they work hard and never give up.""
- Orel Hershiser 
"
20020106	"Rest day
"
20020105	"Rest day
"
20020104	"Complete 3-5 rounds of:
800 meter Run
15 Powercleans
Rest
___________________
""Concentration is why some athletes are better than others......
You develop that concentration in training. You can't be
 lackadaisical in training and concentrate in a meet.""
- Edwin Moses
Interestingly, it may be that Black dominancy in long distance 
running may be due to a greater reliance on high intensity training. 
Surprise, surprise! http://www.pponline.co.uk/encyc/0416.htm
"
20020103	
20020228	"Move through this circuit slowly, but steadily, for as long as you can:
1 Rope Climb
4 Ring dips
10 Back Extensions
10 Sit-ups
Notes:
1. Anyone good for a full hour of movement?
_____________________
""We all choke. You're not human if you haven't.""
- Curtis Strange 
Cholesterol researcher 
Uffe Ravnskov's ""Cholesterol Myth # 4: http://www.ravnskov.nu/myth4.htm


"
20020227	"For time:
1 mile Bike
75 pound Thrusters, 20 reps
1 mile Bike
75 pound Thrusters, 20 reps
Rest fifteen minutes.
For time:
500 meter Row
75 pound Powerclean, 20 reps
500 meter Row
75 pound Powerclean, 20 reps
Notes:
1. We call this ""back to back fights."" Sub 7 minutes for each 
is a good time; sub 6 is amazing
______________________
""Most games are lost, not one.""
- Casey Stengel 
Dr. Ravnskov's Cholesterol Myth #3: http://www.ravnskov.nu/myth3.htm 
"
20020226	"Rest day
"
20020225	"Seven rounds of:
3 Deadlift
3 Bench press
____________________
""Concentration, Confidence, Competitive Urge, Capacity for Enjoyment.""
- Arnold Palmer's ""4 C's of playing a better golf game"" 
This is the second of Dr. Ravnskov's ""Cholesterol Myths"": 
http://www.ravnskov.nu/myth2.htm
"
20020224	"Three to five rounds of: 
65 pound Powerclean, 20 reps 
400 meter Run
65 pound Powerclean, 20 reps 
Rest.
Notes:
1.""Sandbag"" the first and try to improve the time 
on each of two to four subsequent rounds. Not easy.
2. Ladies, children, and neophytes: 65 pounds is a
fit-man's load for this workout. Reduce the weight 
if all twenty reps cannot be performed rapidly, 
consistently, and with fluidity. 
___________________
""Any time you try to win everything, you must be willing to lose everything.""
- Larry Csonka
Check out ""Torson"" from the official Salt Lake City 2002 website. 
Spend time in the hip - front and back - deep and superficially. 
Understanding the hip is the starting point for understanding all of human kinetics.
http://www.saltlake2002.com/x/f/frame.htm?u=/x/m/int/torson/TorsonComplete/TorsonMainNav.html


"
20020223	"Can you perform this sequence every minute on the minute for thirty minutes?
Straight arm, straight body, straight leg pull to inverted hang on pull-up bar.
Lower to normal hang and perform 1 pull-up.
Lower to hang and pull knees to elbows.
Drop and perform 7 squats.
Drop to floor and perform three push-ups.
Notes:
1. Count total circuits completed within thirty minutes. 
2. Straight-straight-straight pull to inverted hang is tough curl up enough 
to more readily pull to inverted hang then extend the body and lower back 
to normal hang ""straightened out.""
3. Incidentally, this is a whole body workout of immense practicality.
___________________
""You have no control over what the other guy does. 
You only have control over what you do.""
- AJ Kitt 
Let's look at Dr. Ravnskov's ""Cholesterol Myths"" one myth at a time. Today, Myth #1: http://www.ravnskov.nu/myth1.htm Dr. Ravnskov is a world renowned authority on
 the causes of coronary heart disease. Many, if not most, athletes aren't currently 
concerned about coronary heart disease, but the best time to give thought to the 
matter is long before becoming symptomatic
"
20020222	"Rest day
"
20020221	"Deadlift 1-1-1-1-1-1-1-1-1-1, rep
Notes:
1. Start light - go heavy.
2. Rest as needed between sets.
3. Stretch and stay warm between sets.
__________________
""Athletics should reduce stress, not increase it.""
- Mark Allen
Dr. Calvin's ""Theory of Throwing and Human Evolution"": 
http://www.williamcalvin.com/throwing.html  
"
20020220	"1 mile Bike
Rest as needed.
20 inch Box jump, 50 reps.
Rest as needed.
20 pound Wallball, 50 shots
Rest as needed.
Jumping pull-ups, 100 reps.
Notes:
1. Add time from all four efforts.
2. Jumping pull-ups are performed starting with about fifteen to twenty 
degrees of flexion in the arm and then jump to chin over bar.
__________________
""You learn you can do your best even when it's hard, even when you're 
tired and maybe hurting a little bit. It feels good to show some courage.""
- Joe Namath 
An interview with Dr. Loren Cordain an outspoken advocate of the Paleolithic Diet: http://chetday.com/cordaininterview.htm


"
20020219	"20 Pull ups
5 Dips
15 Pull ups
10 Dips
5 Pull ups
20 Dips
Notes:
1. Move quickly from pull-ups to dips then rest before next pairing.
2. Can you make two, three rounds of this circuit?
___________________
""Once you can establish an aggressive mental attitude, you can turn 
your attention to correct technique.""
- Tony Gwynn 
 Paleolithic Nutrition: http://www.direct-ms.org/paleolithic_nutrition.html 
"
20020218	"Rest day
"
20020217	"Back sqaut 3-3-3-3-3-3-3-3-3-3, reps
Pace as needed.
________________
""No matter how good you are there's a lot of luck involved.""
- Reggie Miller 
Let's take another swing at the vegetarians: 
http://www.beyondveg.com/ Fun site!
"
20020216	"Five rounds, 21-18-15-12 and 9 reps, for time of:
Back Extensions
Pull ups
Sit ups
Dips 
Notes:
1. This is 5 ""super"" sets. Move from Back Extension through to Dips with no rest. 
2. After completion of all four exercises for each set, rest as needed.
____________________
""Losing is no disgrace if you've given your best.""
- Jim Palmer 
The psychology of idealistic diets: 
http://www.beyondveg.com/cat/psych/index.shtml

"
20020215	"800 meter Run
Rest 5 minutes
500 meter Row
Rest 5 minutes.
20 pound Wallball, 50 shots.
REST 5 minutes.
1 mile Bike
Notes:
1. Add times for all four efforts.
2. Wallball reps come from full squat and shot is two feet over reach.
___________________
""Nobody does it [climbs mountains] for scientific reasons. 
Science is used to raise money for the expeditions, but you 
really climb for the hell of it.""
- Sir Edmund Hillary
"
20020214	"Rest day
"
20020213	"Back squat 5-3-1-3-5, reps
Bench press 5-3-1-3-5, reps
Deadlift 5-3-1-3-5, reps
Notes.
1. Load up!
____________________
""The distinction we make between resistance training and metabolic training 
(""cardio"") may seem clear to us, but nature honors no such distinction.""
- Coach Greg Glassman 
A carbohydrate - cancer connection, interesting and plausible: 
http://www.paleodiet.com/cancer.txt 
"
20020212	"Five rounds each for time of:
400 meter Run
20 Thrusters; 1/2 body weight
15 Pullups
20 Sit ups 
Rest as needed. 
Notes:
1. Time each pass. 
___________________
""I don't ever look back. I look forward.""
- Steffi Graf 
Loren Cordain's food pyramid - a substantial improvement over the USDA's: http://www.paleofood.de/ENGPaleo/ENGPyramids/engpyramids.html
"
20020211	"Rest day
"
20020210	"Muscle ups 3-3-3-3-3-3-3-3-3-3, reps
Notes:
1. If you've not been able to perform the muscle-up yet, 
have someone spot/assist you.
2. Rest as needed between sets.
_________________
""If you have confidence, you have patience. Confidence, that is everything.""
- Ilie Nastase
"
20020209	"Back squat 5-5-5-3-3-3-1-1-1 reps
Notes: 
1. Load up!
___________________
""Football success is desire and speed and intelligence - and desire is 85% of it.""
- Bud Wilkinson 
Cholesterol myths by Uffe Ravnskov, PhD, M.D. 
http://www.ravnskov.nu/cholesterol.htm 
And...check out our friend Dr. Ravnskov's credentials and list of published research:
http://www.ravnskov.nu/uffe.htm
"
20020208	"In any order and within thirty minutes: 
Row a 1K, max effort.
Kettlebell Swing max reps (without stopping).
Pull-ups, max reps. 
Notes:
1. As an indication of the intensity we are looking for and as a challenge, 
who out there can perform 50 kettlebell swings with 2 ""pood"" kettlebell, 
row a 3:10 1K, and perform the 30 pull-ups in one set?
If you can you are among the worlds fittest athletes.
2. Submit row time, k'bell reps, and pull-up count for ranking. 
Entire workout must finish within thirty minutes. First place wins CrossFit T-shirt.
__________________
""If you ask a fifty-goal scorer what the goalie looks like, he'll say the goalie's just a blur. 
But if you ask a five-goal scorer, he'll say the goalie looks like a huge glob of pads. 
A five-goal scorer can tell you the brand name of the pad of every goalie in the league. 
I'm seeing the net, he's seeing the pad.""
- Wayne Gretzky 
""Eating"", an essay by Tom Moody. 
http://www.sju.edu/~tmoody/eating.htm 

"
20020207	"Seven rounds for time of:
5 Pull ups
7 Dips (use rings if you got'em)
1 Rope climb
10 Push ups
12 Back/Hip Extension
15 Sit ups
20 Squats
____________________
""Only a man who knows what it is like to be defeated can reach down 
to the bottom of his soul and come up with the extra ounce of power it 
takes to win when the match is even.""
- Muhammad Ali

"
20020206	"Seven rounds for time of:
5 Pull ups
7 Dips (use rings if you got'em)
1 Rope climb
10 Push ups
12 Back/Hip Extension
15 Sit ups
20 Squats
____________________
""Only a man who knows what it is like to be defeated can reach down 
to the bottom of his soul and come up with the extra ounce of power it 
takes to win when the match is even.""
- Muhammad Ali


"
20020205	"Jump rope for sixty seconds, 
rest for sixty seconds. 
Continue this for forty minutes
___________________
""Develop the capacity of a novice 800 meter track athlete, gymnast, 
and weightlifter and you'll be fitter than any world class runner, 
gymnast, or weightlifter.""
- Coach Glassman 
A little history of fitness, the biography of Alan Calvert: 
http://www.naturalstrength.com/history/acalvert.htm 

"
20020204	"Deadlift 5-4-4-3-3-3-2-2-2-2-1-1-1-1-1 reps
__________________
""I wish I knew how you could overstate the value of the deadlift."" 
Coach Glassman 
http://www.protraineronline.com/past/nov15/deadlift.cfm 
"
20020203	"Rest day
"
20020202	"Rest day


"
20020201	"Powerclean 10-10-10-10-10-10-10 reps
Notes:
1. Max load each set. 
1. A set ends when the bar rests on the ground for even a second. 
Pause at hang or rack positions only
___________________
""The most interesting thing about this sport, at least to me, is the activity 
of preparation - any aspect of preparation for the games. The thrill isn't 
in the winning, it's in the doing.""
- Chuck Noll 
Theodore Roosevelt on ""Value of an Athletic Training"" from Harper's Weekly, 
December 23, 1893. http://www.sewanee.edu/amstudies/tr.html
 
"
20020331	"Three rounds of:
1 mile Run
21 Bench press; body weight
Notes: 
1.Total time. Rest as needed between 1st, 2nd, and 3rd couplets.
2. Dave McEvoy did this in 5:42. 

"
20020330	"Rest day
""There is no single sport or activity that trains for perfect fitness. 
True fitness requires a compromise in adaptation broader than 
the demands of most every sport.""
- Coach Glassman

Goheavy.com's Forums are a valuable source of training information 
for the Olympic Lifts: http://www.goheavy.com/forums/olympic/.


"
20020329	"Three rounds of:
1 mile Bike
20 Cleans; alternating powerclean and squat clean.
Notes:
1. Power clean is pulling bar to racked position whereas 
squat clean is pulling yourself down to racked position, 
i.e., catching high and catching low. 
2. Rest as and where needed, but not during cleans. 
3. Go all out on sprints.

"
20020328	"50 Sit-ups
Tabata Front Squats with Olympic Bar
50 Sit-ups
Notes:
1. Tabata Interval is 20 seconds of work followed by 
10 seconds of rest repeated for 8 intervals.
2. Rest before and after Tabata Squats

"
20020327	"Perform 30 Muscle-ups in thirty minutes.
Notes:
1. Have a spotter assist when needed. The idea is to get above the 
rings at full arm extension with minimal assistance.
2. Two athletes can take turns each completing one muscle-up 
each minute for thirty minutes. 

"
20020326	"Rest day
"
20020325	"Thruster 10-10-10-5-5-5-3-3-3-1-1-1, reps
Notes:
1. Take easy pace.
2. Go heavy.

"
20020324	"20 inch box jump, 50 reps
50 Sit
Rest
20 inch box jump, 40 reps
40 Sit ups.
Rest 
20 inch box jump, 30 reps
30 Sit ups
Notes:
1. Power through first round. Record time. 
Complete subsequent rounds within same time. 
"
20020323	"Three rounds of the couplet:
5 Rope climb; record time
Kettlebell swing for time equivalent to Rope Climb effort.
Rest as needed.

"
20020322	"Rest day
""Most people achieved their greatest successes one step beyond 
what looked like their greatest failure.""
-Brian Tracy
Here from Brad Appleton of M.I.T. is a great primer on stretching: 
http://web.mit.edu/tkd/html/stretching_toc.html. Spend a few days with this one.

"
20020321	"Three rounds of the couplet:
50 Hang Powerclean, 50 reps
500 meter Row
Rest 5 minutes.
Notes:
1. Try to complete each round within 150 seconds. 

"
20020320	"Five rounds of the couplet:
10 Deadlift
30 Push up
Rest 2 minutes.
Notes:
1. No rest between deadlift and push-ups.
2. Select max 10 rep load

"
20020319	"Three to five rounds of the couplet:
Wall ball 90 seconds, max pace.
Pull ups, max reps.
Rest 3 minutes.
Notes:
1. No rest between wall-ball and pull-ups.
2. If you don't have twenty pull-ups fresh, use assistance on the pull-ups of 1/3 bodyweight.
"
20020218	"Rest day
Other than steroid use I cannot think of a single contribution to athletic performance 
coming from the sport science community.""
- Coach Glassman 
Research shows that high intensity exercise improves neural function. No surprise. http://www.pponline.co.uk/encyc/0093.htm



"
20020317	"For time
20 Muscle ups
Notes:
1. Have someone minimally assist on the muscle-ups
 with a lift from the ankles, hips, or back. 
"
20020316	"Five efforts of:
1000 meter Row
Notes:
1. Rest equivalent to work period, i.e., rowing time.
"
20020315	"Back squat 10-10-10-10-10-10-10-10-10-10, reps
"
20020314	"Rest day
""Perhaps the greatest satisfaction in cycling has been to discover that there 
are few things you can't do as long as you're willing to apply yourself.""
- Greg LeMond 
""Every man's got to figure to get beat sometime.""
- Joe Louis
Entertaining: http://www.bigsteel.iwarp.com/index.html 


"
20020313	"Alternate exercises for 5 sets of each.
Hang Clean/Front Squat (combined move) 10 reps at bodyweight.
Rope Climb, twice up and down with touch and go only on bottom. (Doubles climbing length)
Rest after rope as needed, not between clean/squat and rope!

"
20020312	"Seven rounds of:
7 Bench press
30 Sit ups
1. easy pace

"
20020311	"Ten rounds of the couplet:
10 Kettlebell swings
5 Pull up
Can you do 10 (20 anyone?) rounds of this couplet without 
stopping or stalling at all? (Try anyways, time it.)

"
20020310	"Rest day
"
20020309	"How many pull-ups can you do each minute of twenty minutes?
Notes:
1. The lowest number of pull-ups for any minute of twenty minutes is the score.
2. Use assistance if you still haven't a pull-up.
""You always have to give 100 percent, because if you don't, someone, 
someplace, will give 100 percent and will beat you when you meet.""
- Ed Macauley
A city wide pull-up competition for kids - great idea - 
http://www.pull-ups-trainer.com/success.htm 
There's a glaring inadequacy in most athlete's development that can best be 
addressed with the pull-up or chin-up. 

"
20020308	"Three to five round for time of:
400 meter Run
20 Push press
Notes:
1. Use load 10 RM load for Push-press.
""You go for it. All the stops are out. Caution is to the wind, and you're battling 
with everything you have. That's the real fun of the game.""
- Dan Dierdorf
Here are abstracts of several interesting studies of note: 
http://www.halesoptimumphysique.com/articles/esar.htm
"
20020307	"Sit up 30-25-20,reps
Tabata Squats
Sit up 30-25-20, reps
Notes:
1. It's time for a good number of our athletes to complete 20 squats 
(full range - of course - the only one's we count) 
in each of eight twenty second intervals.
2. Rest as desired between Sit-ups and Tabata Squats.
""Stick to the basics and when you feel you've mastered them it's time 
to start all over again, begin anew - again with the basics -
this time paying closer attention.""
- Greg Glassman 
Here's Google's search for Tabata Intervals. Study up on this potent interval. Devastatingly efficient! http://www.google.com/search?hl=en&q;=tabata+interval 
"
20020306	"Rest day
"
20020305	"1 Rope Climb
10 Dips (on rings if you've got 'em)
10 Pull-up
15 Push-up
___________________
Everybody had limits. You just have to learn what your own 
limits are and deal with them accordingly.""
- Nolan Ryan
This is #8, the last, of Uffe Ravnskov's ""Cholesterol Myths"": 
http://www.ravnskov.nu/myth8.htm
"
20020304	"Three to five rounds each for time of:  
20 inch Box jump, 50 reps
40 Kettlebell swings
30 Sit ups
400 meter Run
____________________
""I'm careful not to give into theatrics when times are tough, I don't like it when 
somebody gives into outside pressure and puts on a show for others."" 
- Tony La Russa
"
20020303	"Five rounds of:
5 Powerclean 
5 Bench press 
_____________________
""What's the worst thing that can happen to a quarterback? He loses his confidence.""
- Terry Bradshaw
Uffe Ravnskov's Cholesterol Myth # 6: http://www.ravnskov.nu/myth6.htm
"
20020302	"Rest day


"
20020301	"Back squat 5-5-3-3-1-1-3-3-5-5, reps
Notes:
1. Rest as needed between sets.
2. Max load.
____________________
""I've never had to cheat. I get 'em with what I got.""
- Dave Winfield 
Uffe Ravnskov, PhD, M.D., and ""Cholesterol Myth # 5: 
http://www.ravnskov.nu/myth5.htm
"
20020430	"Complete five rounds of this couplet:
Reverse Back Ext., 25 reps
L-hold, 60 seconds
Notes:
1. L-hold is for total of sixty seconds each round. 
2. Break L-hold into as few efforts per round as possible.
3. L-hold is from hang or straight arm support

"
20020429	"Three rounds for time of:
800 Meter run
10 Muscle ups
Notes:
1. Use assistance on muscle-ups minimally and as needed.
"
20020428	"For time:
500 Meter row
50 One legged squats, alternating right-left (25 each leg)
500 Meter row
100 Walking lunges, alternating right-left (50 each leg)
500 Meter row
Notes:
1. One legged squat is performed with non-supporting leg held 
straight out in front, without touching ground.
2. If absolutely essential, use rope tied to pull-up bar as assistance.
"
20020427	"Rest day
""Life isn't about finding yourself. Life is about creating yourself.""
- George Barnard Shaw
Joshua Landau on basic muscle physiology: 
http://www.med.unc.edu/medal/olympicgold/muscleintro.htm.



"
20020426	"Run 800 meters
Clean 5-5-5-5-5, reps
Deadlift 10-10-10, reps
Push press, 20 reps
Run 800 meters
"
20020425	"Run 800 meters
Push press 5-5-5-5-5, reps
Clean 10-10-10, reps
Deadlift, 20 reps
Run 800 meters
"
20020424	"Run 800 meters
Deadlift 5-5-5-5-5, reps
Push-press 10-10-10, reps
Clean, 20 reps
Run 800 meters
"
20020423	"Rest day
""Endurance, stamina, strength, and flexibility are developed through training, 
and these adaptations manifest as measurable changes in the body. 
Coordination, agility, balance, and accuracy are developed through practice 
and these adaptations come about through changes in the nervous system. 
Power and speed have equal requirements for training and practice.""
- Coach Glassman
Tom McCullough on bench press technique: 
http://www.cyberiron.com/tom/powerbench.html Give the reverse grip a try.


"
20020422	"Five rounds for time of:
20 inch box jump, 30 reps
15 Handstand push ups
Notes:
1. Many will need assistance on handstand push-ups. 
We use rope and block & tackle with 4:1 set-up for easy (fun) spotting

"
20020421	"Row 500 meters 
Four minutes of pull-ups
Row 500 meters
Four minutes of pull-ups
Row 500 meters
Four minutes of pull-ups
Row 500 meters
Four minutes of pull-ups
Notes:
1. Row at sub 2:00 pace. No score (DQ'd for 2:00+ times)
2. Set rower for intervals of 500 meters work and four minutes rest.
3. Get back to rower before 4 minute ""rest"" is over. 
Start immediately at end of countdown!! DQ for delay.
4. Score is total pull-up count.
5. No rest here.
"
20020420	"Tabata squats holding 35 pound plate.
Rest 10 minutes.
Tabata squats without plate.
"
20020419	"Rest day
""The most important criterion for exercise selection is neuroendocrine effect.
 Regardless of your sport or your fitness goals these moves are the shortest 
path to success.""
- Greg Glassman 


"
20020418	"For time:
Bike 1 mile
1/2 Body weight Clean, 15 reps
Bike 1 mile
1/2 Body weight Clean, 15 reps
Bike 1 mile
1/2 Body weight Clean, 15 reps
Notes:
1. Modify load per ability if necessary

"
20020417	"For time:
500 meter Row
50 Dips
500 meter Row
50 Dips
500 meter Row
Notes:
1. Use assistance if absolutely necessary.
2. For most the dips will require multiple sets

"
20020416	"For time:
400 meter Row
Body weight Deadlift, 10-10-10 reps
400 meter Row
Body weight Deadlift, 10-10-10 reps
400 meter Row
Notes: 
1. Modify load per ability if necessary

"
20020415	"Rest day
""No, it doesn't ever get any easier. You wouldn't want it to either.""
- Greg Glassman
Powerclean vs. Powerpull, power training etc, from SportSci.org: 
http://www.sportsci.org/jour/9901/rmn.html


"
20020414	"For time:
5000 meter Row
1. Row as though your life depended on it.
"
20020413	"Five rounds of:
30 Sit ups
30 Back extensions
Notes: 
1. No pace requirement
"
20020412	"Tabata squats
10 Muscle ups
Tabata squats
Notes:
1. Rest as needed.
2. Take minimal assistance on muscle-ups where needed.
"
20020411	"Rest day
""Generating and sustaining significant work output from the upper body 
is a critical domain generally, and sadly, reserved for rowers, combatants, 
and cross country skiers.""
- Greg Glassman 

Anyone found a cooler Upper Body Ergometer (UBE): 
http://www.gracefitness.com/UBE.htm ? 
Let us know before we buy one


"
20020410	"For time:
1/2 Body weight Powerclean, 21 reps 
400 meter Run
1/2 Body weight Powerclean, 18 reps 
400 meter Run
1/2 Body weight Powerclean, 15 reps
400 meter Run
1/2 Body weight Powerclean, 12 reps
400 meter Run
"
20020409	"Five rounds of:
Back squat, 10 reps.
Walk on Hands 50 yards.
Notes:
1. Easy pace - rest as needed between all efforts.
2. Have spotter hold ankles for Hand-walk.
3. Big load on squat.

"
20020408	"For time:
Box jump, 50 reps
25 Pull ups
Box Jump, 40 reps
20 Pull ups
Box Jump, 30 reps
15 Pull ups
Box Jump, 20 reps
10 Pull ups
Notes:
1. Let's play with bigger box.
"
20020407	"Rest day
""Squat, jump, climb, throw, lift.""
- Greg Glassman 

Cruise around www.sportsci.org. 
 

"
